53,72
46,42,"."
39,0," "
28,8,":"
4,17,"M"
16,42," "
27,70,"I"
5,5," "
5,6," "
48,2," "
28,51," "
26,63,"M"
35,51,"."
45,19," "
19,17," "
8,56,"H"
23,49," "
12,48,"M"
8,5," "
46,7," "
14,9,"M"
23,17,"."
25,61," "
43,28,"T"
19,46,"."
9,10,"M"
16,17," "
19,14,"M"
25,37," "
47,27,"H"
33,2," "
32,68,"~"
49,19," "
7,50,"M"
40,5," "
24,47,"~"
26,62,"M"
21,34," "
5,41,":"
9,25,"M"
48,35,"."
30,64,":"
16,25," "
38,34,"M"
33,35," "
39,39,"M"
19,43," "
6,15,"M"
14,16,"M"
41,26,"M"
49,34,"."
33,21,"W"
40,15," "
21,50,"~"
20,47,"M"
2,1," "
44,15," "
34,6," "
42,8," "
15,48," "
39,53,"M"
25,14,":"
36,8," "
7,20,"H"
25,63,"M"
25,3,":"
30,46,"'"
11,7," "
16,7,"M"
51,4," "
33,4," "
26,44,"~"
5,16,"~"
45,15," "
34,20,"Y"
11,34,"H"
31,18,":"
35,23," "
13,42,"M"
40,31," "
51,14," "
47,20," "
26,2,"T"
33,34," "
7,24,"M"
12,38,"M"
15,26," "
11,35,"H"
1,8," "
41,30," "
9,35,"H"
18,25," "
34,60,"I"
9,17,"M"
27,69,"."
26,54," "
34,43," "
51,27," "
38,6," "
17,53," "
11,56,"H"
31,5,"M"
41,5," "
14,65,"H"
43,5," "
2,25,"A"
22,54," "
25,47,","
21,13,"F"
42,45,"F"
15,60,"H"
34,48," "
44,32,"W"
35,26,"H"
22,60," "
12,61,"H"
3,15,"."
16,35," "
52,19," "
24,51," "
32,58,"."
14,17,"M"
17,25," "
32,50,"T"
27,71,"."
47,25,"H"
50,30,"I"
7,53,"H"
29,34," "
24,1,":"
33,7," "
17,52,"."
27,65,"."
50,38,"."
51,38,"."
18,12,"M"
11,59,"H"
22,0," "
3,9," "
50,27," "
10,13,"M"
12,12,"M"
26,33,"I"
50,36,"."
38,54,"H"
41,23,"H"
31,37," "
4,8," "
38,12," "
26,65,"F"
1,35,"M"
7,56,"M"
23,66,"H"
19,41," "
21,66,"M"
41,0," "
13,36,"M"
10,10,"M"
17,4," "
32,5," "
